"id_data","data"
"173","05/10/2019"
"174","08/10/2019"
"175","10/10/2019"
"176","14/10/2019"
"177","07/11/2019"
"178","13/11/2019"
"179","14/11/2019"
"180","28/11/2019"
"181","13/12/2019"
"182","21/12/2019"
"183","30/12/2019"
"184","01/01/2020"
"185","06/01/2020"
"186","24/01/2020"
"187","31/01/2020"
"188","11/02/2020"
"189","21/02/2020"
"190","04/03/2020"
"191","11/03/2020"
"192","13/03/2020"
"193","16/03/2020"
"194","27/03/2020"
"195","05/04/2020"
"196","10/04/2020"
"197","01/05/2020"
"198","13/05/2020"
"199","14/05/2020"
"200","22/05/2020"
"201","06/06/2020"
"202","16/06/2020"
"203","17/06/2020"
"204","18/06/2020"
"205","24/06/2020"
"206","25/06/2020"
"207","13/07/2020"
"208","24/07/2020"
"209","27/07/2020"
"210","03/08/2020"
"211","04/08/2020"
"212","19/08/2020"
"213","31/08/2020"
"214","08/09/2020"
"215","05/10/2020"
"216","08/10/2020"
"217","10/10/2020"
"218","14/10/2020"
"219","04/11/2020"
"220","07/11/2020"
"221","13/11/2020"
"222","19/11/2020"
"223","28/11/2020"
"224","21/12/2020"
"225","30/12/2020"
"226","31/12/2020"
"227","05/01/2021"
"228","24/01/2021"
"229","11/02/2021"
"230","21/02/2021"
"231","16/03/2021"
"232","27/03/2021"
"233","05/04/2021"
"234","10/04/2021"
"235","01/05/2021"
"236","10/05/2021"
"237","14/05/2021"
"238","22/05/2021"
"239","16/06/2021"
"240","18/06/2021"
"241","24/06/2021"
"242","13/07/2021"
"243","24/07/2021"
"244","27/07/2021"
"245","04/08/2021"
"246","19/08/2021"
"247","31/08/2021"
"248","08/09/2021"
"249","05/11/2019"
"250","24/10/2019"
"251","24/10/2020"
"252","05/11/2020"
"253","23/01/2020"
"254","31/09/2017"
